Starting Training Loop...
[1/5][800/1583]	Loss_D: 0.4868	Loss_G: 5.7415	D(x): 0.9342	D(G(z)): 0.3026 / 0.0056
[1/5][850/1583]	Loss_D: 0.3275	Loss_G: 3.7778	D(x): 0.8582	D(G(z)): 0.1316 / 0.0396
[1/5][900/1583]	Loss_D: 0.8856	Loss_G: 3.2457	D(x): 0.7001	D(G(z)): 0.2828 / 0.0673
[1/5][950/1583]	Loss_D: 0.7669	Loss_G: 5.5653	D(x): 0.8937	D(G(z)): 0.4125 / 0.0066
[1/5][1000/1583]	Loss_D: 0.5075	Loss_G: 4.5134	D(x): 0.9093	D(G(z)): 0.2986 / 0.0186
[1/5][1050/1583]	Loss_D: 0.5620	Loss_G: 2.5292	D(x): 0.6824	D(G(z)): 0.0877 / 0.1293
[1/5][1100/1583]	Loss_D: 0.5687	Loss_G: 2.8573	D(x): 0.8176	D(G(z)): 0.2562 / 0.0846
[1/5][1150/1583]	Loss_D: 0.5136	Loss_G: 3.2910	D(x): 0.7818	D(G(z)): 0.1894 / 0.0542
[1/5][1200/1583]	Loss_D: 0.5560	Loss_G: 3.8169	D(x): 0.8504	D(G(z)): 0.2799 / 0.0343
[1/5][1250/1583]	Loss_D: 0.5517	Loss_G: 4.0660	D(x): 0.8494	D(G(z)): 0.2726 / 0.0338
[1/5][1300/1583]	Loss_D: 1.0378	Loss_G: 0.9508	D(x): 0.4657	D(G(z)): 0.0447 / 0.4640
[1/5][1350/1583]	Loss_D: 0.5024	Loss_G: 2.6703	D(x): 0.7382	D(G(z)): 0.1107 / 0.1092
[1/5][1400/1583]	Loss_D: 0.5125	Loss_G: 2.7200	D(x): 0.7647	D(G(z)): 0.1685 / 0.0966
[1/5][1450/1583]	Loss_D: 0.7068	Loss_G: 2.7040	D(x): 0.7216	D(G(z)): 0.2509 / 0.0995
[1/5][1500/1583]	Loss_D: 0.5719	Loss_G: 2.6402	D(x): 0.8134	D(G(z)): 0.2661 / 0.0940
[1/5][1550/1583]	Loss_D: 0.6941	Loss_G: 2.6987	D(x): 0.6592	D(G(z)): 0.1238 / 0.1085
[2/5][0/1583]	Loss_D: 0.6129	Loss_G: 3.9243	D(x): 0.8410	D(G(z)): 0.3178 / 0.0273
[2/5][50/1583]	Loss_D: 0.6502	Loss_G: 2.5932	D(x): 0.7680	D(G(z)): 0.2452 / 0.1021
[2/5][100/1583]	Loss_D: 1.2374	Loss_G: 5.6340	D(x): 0.9029	D(G(z)): 0.5908 / 0.0066
[2/5][150/1583]	Loss_D: 0.7225	Loss_G: 4.0125	D(x): 0.8650	D(G(z)): 0.3947 / 0.0247
[2/5][200/1583]	Loss_D: 0.7561	Loss_G: 0.6284	D(x): 0.5761	D(G(z)): 0.0622 / 0.6086
[2/5][250/1583]	Loss_D: 0.3414	Loss_G: 3.0642	D(x): 0.8260	D(G(z)): 0.1182 / 0.0643
[2/5][300/1583]	Loss_D: 0.4989	Loss_G: 2.4147	D(x): 0.7840	D(G(z)): 0.1944 / 0.1093
[2/5][350/1583]	Loss_D: 0.7059	Loss_G: 1.4230	D(x): 0.6129	D(G(z)): 0.0932 / 0.3023
[2/5][400/1583]	Loss_D: 0.5505	Loss_G: 3.3117	D(x): 0.8538	D(G(z)): 0.2849 / 0.0537
[2/5][450/1583]	Loss_D: 1.0807	Loss_G: 4.3900	D(x): 0.9253	D(G(z)): 0.5804 / 0.0188
[2/5][500/1583]	Loss_D: 1.3916	Loss_G: 5.6789	D(x): 0.9540	D(G(z)): 0.6724 / 0.0063
[2/5][550/1583]	Loss_D: 0.7351	Loss_G: 1.5673	D(x): 0.5964	D(G(z)): 0.0885 / 0.2546
[2/5][600/1583]	Loss_D: 0.6593	Loss_G: 1.3298	D(x): 0.6584	D(G(z)): 0.1624 / 0.3042
[2/5][650/1583]	Loss_D: 0.5982	Loss_G: 3.2978	D(x): 0.8516	D(G(z)): 0.3116 / 0.0529
[2/5][700/1583]	Loss_D: 1.0805	Loss_G: 1.6312	D(x): 0.4210	D(G(z)): 0.0314 / 0.2618
[2/5][750/1583]	Loss_D: 0.6750	Loss_G: 1.5157	D(x): 0.6198	D(G(z)): 0.1206 / 0.2624
[2/5][800/1583]	Loss_D: 0.5937	Loss_G: 1.8984	D(x): 0.6482	D(G(z)): 0.0892 / 0.1979
[2/5][850/1583]	Loss_D: 2.1458	Loss_G: 4.7646	D(x): 0.9549	D(G(z)): 0.7857 / 0.0162
[2/5][900/1583]	Loss_D: 0.5541	Loss_G: 2.2372	D(x): 0.7749	D(G(z)): 0.2207 / 0.1357
[2/5][950/1583]	Loss_D: 1.3461	Loss_G: 1.0825	D(x): 0.3433	D(G(z)): 0.0400 / 0.4403
[2/5][1000/1583]	Loss_D: 0.5739	Loss_G: 1.7569	D(x): 0.6966	D(G(z)): 0.1455 / 0.2142
[2/5][1050/1583]	Loss_D: 0.5649	Loss_G: 3.2882	D(x): 0.8730	D(G(z)): 0.3252 / 0.0471
[2/5][1100/1583]	Loss_D: 0.7624	Loss_G: 3.4233	D(x): 0.8056	D(G(z)): 0.3744 / 0.0458
[2/5][1150/1583]	Loss_D: 0.6572	Loss_G: 2.0246	D(x): 0.7123	D(G(z)): 0.2299 / 0.1588
[2/5][1200/1583]	Loss_D: 0.9049	Loss_G: 0.4466	D(x): 0.5003	D(G(z)): 0.0786 / 0.6834
[2/5][1250/1583]	Loss_D: 0.5333	Loss_G: 2.0554	D(x): 0.7166	D(G(z)): 0.1387 / 0.1575
[2/5][1300/1583]	Loss_D: 0.5173	Loss_G: 1.9662	D(x): 0.7381	D(G(z)): 0.1611 / 0.1751
[2/5][1350/1583]	Loss_D: 0.6018	Loss_G: 3.3133	D(x): 0.8309	D(G(z)): 0.3060 / 0.0515
[2/5][1400/1583]	Loss_D: 0.6204	Loss_G: 2.9820	D(x): 0.8341	D(G(z)): 0.3109 / 0.0680
[2/5][1450/1583]	Loss_D: 0.6305	Loss_G: 2.1839	D(x): 0.7000	D(G(z)): 0.1823 / 0.1532
[2/5][1500/1583]	Loss_D: 0.5807	Loss_G: 2.6126	D(x): 0.8253	D(G(z)): 0.2891 / 0.0923
[2/5][1550/1583]	Loss_D: 0.6221	Loss_G: 1.5806	D(x): 0.6380	D(G(z)): 0.1011 / 0.2526
[3/5][0/1583]	Loss_D: 0.6059	Loss_G: 3.8770	D(x): 0.9166	D(G(z)): 0.3638 / 0.0303
[3/5][50/1583]	Loss_D: 1.8455	Loss_G: 0.2739	D(x): 0.2250	D(G(z)): 0.0169 / 0.7866
[3/5][100/1583]	Loss_D: 0.7660	Loss_G: 3.3434	D(x): 0.8864	D(G(z)): 0.4376 / 0.0479
[3/5][150/1583]	Loss_D: 0.7266	Loss_G: 1.8130	D(x): 0.6692	D(G(z)): 0.2299 / 0.2039
[3/5][200/1583]	Loss_D: 0.7169	Loss_G: 3.1981	D(x): 0.8671	D(G(z)): 0.3986 / 0.0566
[3/5][250/1583]	Loss_D: 0.6485	Loss_G: 2.1582	D(x): 0.7519	D(G(z)): 0.2625 / 0.1441
[3/5][300/1583]	Loss_D: 0.9945	Loss_G: 3.8908	D(x): 0.8814	D(G(z)): 0.5280 / 0.0328
[3/5][350/1583]	Loss_D: 0.8033	Loss_G: 4.0123	D(x): 0.8972	D(G(z)): 0.4462 / 0.0281
[3/5][400/1583]	Loss_D: 0.6397	Loss_G: 3.1222	D(x): 0.8269	D(G(z)): 0.3228 / 0.0578
[3/5][450/1583]	Loss_D: 1.2525	Loss_G: 4.9426	D(x): 0.9047	D(G(z)): 0.6206 / 0.0140
[3/5][500/1583]	Loss_D: 1.6040	Loss_G: 5.5348	D(x): 0.9053	D(G(z)): 0.7136 / 0.0105
[3/5][550/1583]	Loss_D: 0.6058	Loss_G: 2.0715	D(x): 0.7358	D(G(z)): 0.2181 / 0.1584
[3/5][600/1583]	Loss_D: 1.4324	Loss_G: 0.3783	D(x): 0.3062	D(G(z)): 0.0294 / 0.7241
[3/5][650/1583]	Loss_D: 0.9448	Loss_G: 1.0022	D(x): 0.5028	D(G(z)): 0.1417 / 0.4092
[3/5][700/1583]	Loss_D: 0.9198	Loss_G: 1.6198	D(x): 0.4846	D(G(z)): 0.0615 / 0.2606
[3/5][750/1583]	Loss_D: 0.7163	Loss_G: 1.7851	D(x): 0.6985	D(G(z)): 0.2408 / 0.2013
[3/5][800/1583]	Loss_D: 0.7032	Loss_G: 1.7076	D(x): 0.6182	D(G(z)): 0.1216 / 0.2221
[3/5][850/1583]	Loss_D: 0.5436	Loss_G: 2.5825	D(x): 0.7043	D(G(z)): 0.1226 / 0.1063
[3/5][900/1583]	Loss_D: 0.5946	Loss_G: 2.4072	D(x): 0.7855	D(G(z)): 0.2662 / 0.1109
[3/5][950/1583]	Loss_D: 0.7941	Loss_G: 1.3175	D(x): 0.5328	D(G(z)): 0.0739 / 0.3179
[3/5][1000/1583]	Loss_D: 0.8773	Loss_G: 3.4563	D(x): 0.8372	D(G(z)): 0.4383 / 0.0453
[3/5][1050/1583]	Loss_D: 0.8159	Loss_G: 4.3807	D(x): 0.9233	D(G(z)): 0.4745 / 0.0169
[3/5][1100/1583]	Loss_D: 0.5332	Loss_G: 1.8514	D(x): 0.7236	D(G(z)): 0.1601 / 0.1922
[3/5][1150/1583]	Loss_D: 0.7425	Loss_G: 1.3902	D(x): 0.5521	D(G(z)): 0.0831 / 0.2867
[3/5][1200/1583]	Loss_D: 0.7205	Loss_G: 1.7211	D(x): 0.6122	D(G(z)): 0.1324 / 0.2186
[3/5][1250/1583]	Loss_D: 1.1171	Loss_G: 2.9010	D(x): 0.7774	D(G(z)): 0.5143 / 0.0749
[3/5][1300/1583]	Loss_D: 0.7195	Loss_G: 2.8273	D(x): 0.8752	D(G(z)): 0.4089 / 0.0754
[3/5][1350/1583]	Loss_D: 0.7989	Loss_G: 3.6136	D(x): 0.9466	D(G(z)): 0.4866 / 0.0362
[3/5][1400/1583]	Loss_D: 0.8406	Loss_G: 1.2346	D(x): 0.5741	D(G(z)): 0.1536 / 0.3574
[3/5][1450/1583]	Loss_D: 0.8635	Loss_G: 1.9279	D(x): 0.5768	D(G(z)): 0.1786 / 0.1913
[3/5][1500/1583]	Loss_D: 0.4403	Loss_G: 2.7718	D(x): 0.8048	D(G(z)): 0.1788 / 0.0801
[3/5][1550/1583]	Loss_D: 0.7547	Loss_G: 1.7103	D(x): 0.5659	D(G(z)): 0.0838 / 0.2303
[4/5][0/1583]	Loss_D: 0.6492	Loss_G: 2.1054	D(x): 0.6049	D(G(z)): 0.0830 / 0.1580
[4/5][50/1583]	Loss_D: 1.1226	Loss_G: 0.6074	D(x): 0.4014	D(G(z)): 0.0588 / 0.5867
[4/5][100/1583]	Loss_D: 0.5412	Loss_G: 2.3640	D(x): 0.8097	D(G(z)): 0.2569 / 0.1124
[4/5][150/1583]	Loss_D: 0.6364	Loss_G: 2.2234	D(x): 0.7260	D(G(z)): 0.2266 / 0.1329
[4/5][200/1583]	Loss_D: 0.4974	Loss_G: 2.7606	D(x): 0.8688	D(G(z)): 0.2717 / 0.0789
[4/5][250/1583]	Loss_D: 0.6680	Loss_G: 2.5612	D(x): 0.7481	D(G(z)): 0.2729 / 0.0985
[4/5][300/1583]	Loss_D: 0.5193	Loss_G: 2.1911	D(x): 0.7554	D(G(z)): 0.1841 / 0.1397
[4/5][350/1583]	Loss_D: 0.6221	Loss_G: 3.3794	D(x): 0.9119	D(G(z)): 0.3805 / 0.0448
[4/5][400/1583]	Loss_D: 0.6046	Loss_G: 1.8364	D(x): 0.6579	D(G(z)): 0.1096 / 0.1985
[4/5][450/1583]	Loss_D: 0.9340	Loss_G: 1.1527	D(x): 0.5006	D(G(z)): 0.1008 / 0.3550
[4/5][500/1583]	Loss_D: 0.9691	Loss_G: 4.2916	D(x): 0.9545	D(G(z)): 0.5627 / 0.0191
[4/5][550/1583]	Loss_D: 0.8715	Loss_G: 1.8864	D(x): 0.6031	D(G(z)): 0.2218 / 0.1800
[4/5][600/1583]	Loss_D: 0.8993	Loss_G: 3.2994	D(x): 0.9202	D(G(z)): 0.5099 / 0.0501
[4/5][650/1583]	Loss_D: 0.5608	Loss_G: 2.3180	D(x): 0.7622	D(G(z)): 0.2231 / 0.1249
[4/5][700/1583]	Loss_D: 0.7068	Loss_G: 2.0039	D(x): 0.6886	D(G(z)): 0.2277 / 0.1717
[4/5][750/1583]	Loss_D: 0.6635	Loss_G: 1.2748	D(x): 0.6104	D(G(z)): 0.0919 / 0.3208
[4/5][800/1583]	Loss_D: 0.6106	Loss_G: 3.6372	D(x): 0.8687	D(G(z)): 0.3327 / 0.0361
[4/5][850/1583]	Loss_D: 0.6094	Loss_G: 2.6847	D(x): 0.6514	D(G(z)): 0.1042 / 0.1089
[4/5][900/1583]	Loss_D: 0.5855	Loss_G: 1.5711	D(x): 0.6591	D(G(z)): 0.1157 / 0.2393
[4/5][950/1583]	Loss_D: 0.4314	Loss_G: 2.4697	D(x): 0.7688	D(G(z)): 0.1269 / 0.1082
[4/5][1000/1583]	Loss_D: 0.6494	Loss_G: 3.5256	D(x): 0.8798	D(G(z)): 0.3568 / 0.0404
[4/5][1050/1583]	Loss_D: 0.5528	Loss_G: 3.4164	D(x): 0.8781	D(G(z)): 0.3159 / 0.0449
